city,_id
Nagytarcsa,7
Nyírbátor,7
Németország,7
Oroszlány,7
Lech,7
Magyarország,8
Hódmezővásárhely,8
Nagykanizsa,8
Fót,8
Tököl,8
Mátészalka,8
St,8
Budaors,9
Füzesabony,9
Veresegyház,9
Obergurgl,9
Szekszárd,9
Pest,9
Pilisszentiván,9
Bad,9
Siófok,9
Szentendre,10
Pertisau,10
Sárvár,11
Ischgl,11
Baja,11
Újhartyán,11
Vác,12
Környe,12
,12
Eger,12
Gödöllő,12
Mór,12
Esztergom,12
Bicske,13
Tata,16
Mosonmagyaróvár,16
BUDAPEST,16
Gyál,16
Kitzbühel,16
Hatvan,18
Vecsés,19
Hinterglemm,19
Otthonról,19
Üllő,19
Jászfényszaru,20
Kaposvár,21
Sopron,21
Gyöngyös,21
Komárom,22
Szigetszentmiklós,23
Tiszaújváros,23
Szolnok,24
Érd,26
Dunaharaszti,26
Törökbálint,27
Csömör,30
Dunakeszi,31
Biatorbágy,32
Göd,32
Nyíregyháza,36
Zalaegerszeg,37
Tatabánya,39
Szombathely,40
Szeged,50
Pécs,59
Székesfehérvár,62
Debrecen,72
Miskolc,74
Veszprém,76
Kecskemét,76
Országosan,77
Budaörs,88
Győr,89
Wien,90
Rugalmas,151
Budapest,2533
